representation,source_file,num_samples,num_candidate_points,num_candidates,threshold,calibration_mode,calibration_target,candidate_point_rate,score_mean,score_std,score_max,candidate_points_total,candidate_length_mean,candidate_length_max,peak_score_mean,peak_score_max
real_concat,A1-31.1_preprocessed__real_concat.csv,6830,113,4,13.305150625353635,global_quantile,0.995,0.016544655929721815,2.3946651538739996,2.9865613716712813,29.785689655060423,108,27.0,59,20.597262725892765,29.785689655060423
real_concat,A1-32.1_preprocessed__real_concat.csv,3913,27,2,13.305150625353635,global_quantile,0.995,0.006900076667518528,1.6323225152928975,8.552967108030515,185.5841161237431,27,13.5,14,108.678177648902,185.5841161237431
real_concat,A1-4.1_preprocessed__real_concat.csv,26988,130,4,13.305150625353635,global_quantile,0.995,0.004816955684007707,1.5022515240617444,3.649697509861503,94.46566847497382,130,32.5,49,71.79723060867326,94.46566847497382
real_concat,A1-5.1_preprocessed__real_concat.csv,28967,256,6,13.305150625353635,global_quantile,0.995,0.008837642834950116,3.35610540226954,34.43828702188448,1111.4766462992782,251,41.833333333333336,148,215.41513863693112,1111.4766462992782
real_concat,A1-6.1_preprocessed__real_concat.csv,25024,75,5,13.305150625353635,global_quantile,0.995,0.0029971227621483376,1.30088232539685,2.052876097633924,77.29597951514334,75,15.0,22,30.862760756139483,77.29597951514334
real_concat,A1-6.2_preprocessed__real_concat.csv,18873,103,2,13.305150625353635,global_quantile,0.995,0.005457531923912467,1.4236001219545698,3.6097735019895527,116.84774377662714,103,51.5,85,67.42445851261286,116.84774377662714
real_concat,A1-7.1_preprocessed__real_concat.csv,27273,164,5,13.305150625353635,global_quantile,0.995,0.006013273200601328,1.6586656918275642,3.129842551804444,135.5750302728623,155,31.0,57,45.29882102750222,135.5750302728623
real_concat,A1-8.1_preprocessed__real_concat.csv,23266,147,8,13.305150625353635,global_quantile,0.995,0.0063182326141150175,1.4467679656241936,3.4413278320521847,105.97549028968022,135,16.875,57,30.12227963835511,105.97549028968022
real_concat,A1-9.1_preprocessed__real_concat.csv,24353,90,5,13.305150625353635,global_quantile,0.995,0.0036956432472385332,1.4033417538669608,1.8993494590424633,35.25222222919012,85,17.0,22,28.04414413782544,35.25222222919012
dual_mode,A1-10.1_preprocessed__dual_mode.csv,27509,79,3,96.79068385139442,global_quantile,0.995,0.002871787415027809,9.353385518925695,294.4884887155434,17977.358192541302,75,25.0,37,6107.541265757446,17977.358192541302
dual_mode,A1-11.1_preprocessed__dual_mode.csv,22205,0,0,96.79068385139442,global_quantile,0.995,0.0,1.5917548077095924,3.1172031902520616,68.44410200937087,0,0.0,0,0.0,0.0
