sample_index,axis,baseline_distance,mode_common,mode_difference,mode_coupling,mode_saliency
114,3.49795621784791,1.499999998180447,1.0337320985697656,-0.38978597129886156,0.04139678365409517,-0.5369771405629536
115,3.50513488154467,1.4999999986293664,1.0339817347454516,-0.45677028574247325,0.04135737175080167,-0.5344397545291494
116,3.51208665430201,1.499999993572217,1.0343145829796996,-0.46198985438805407,0.04135669026411997,-0.49615569329350157
117,3.5188038274407,1.5000000050885671,1.0351542682980561,-0.4350221166732474,0.04132329878416942,-0.46676200250085514
118,3.52527876686559,1.5000000091966257,1.0366293911546225,-0.31584222224493985,0.0412748822250049,-0.4865340783931908
119,3.53150392753604,1.499999994320471,1.0359485652207634,-0.2897444695952632,0.04126819987877358,-0.5181458567186317
120,3.53747187970798,1.4999999953563428,1.0361679424661634,-0.28365498409865647,0.04124942049765443,-0.5215306736652374
121,3.54317533422621,1.4999999980028804,1.0363116723855177,-0.37151752202187055,0.04126068850581009,-0.5530194946176051
122,3.54860715778409,1.4999999913091515,1.037053016180059,-0.4654695642874676,0.041287457417324265,-0.5568012825173545
123,3.55376039693486,1.4999999986629795,1.0376355005901032,-0.39152582256517676,0.04129317146173975,-0.5264038697104282
124,3.55862830745981,1.499999997489966,1.036122554070624,-0.3984852346037645,0.041273271839185964,-0.5311765000727141
125,3.56320437793918,1.4999999989390005,1.0370303219822896,-0.4315424259721946,0.04122686024233456,-0.4772114973614383
126,3.56748235443362,1.5000000031097045,1.038785339944828,-0.47677857743562546,0.04121773640339728,-0.45351580986924706
127,3.57145626536048,1.4999999941562192,1.0395645074023923,-0.38195664473967383,0.04119454048513235,-0.4357223959951172
128,3.57512045930929,1.4999999971413485,1.038119643476332,-0.37586715482707367,0.04125387984148386,-0.41233157687197663
129,3.57846963036633,1.499999997273277,1.038936634596919,-0.39500553038907094,0.04128160959022985,-0.4385118189107644
130,3.581498841466,1.5000000006053782,1.037438817542473,-0.38108670411820483,0.04132481361589247,-0.4091479707182821
131,3.58420355141231,1.5000000015702624,1.0383238912564787,-0.4898274735744463,0.04130606767136581,-0.3416974950573837
132,3.58657964225991,1.4999999967576476,1.0406386994312917,-0.40805442418382415,0.04130687689789999,-0.29283301633456427
133,3.58862344475068,1.5000000026273483,1.0395796368676453,-0.5646411219530161,0.04130872474569481,-0.11327464921996876
134,3.59033176353165,1.4999999981048897,1.0391560118422087,-0.3384603271458215,0.04127413511097966,-0.03196462339175181
135,3.59170191120954,1.5000000007100351,1.0398292730433314,-0.5498523815263221,0.04126800003407413,-0.051472129032220516
136,3.59273172825847,1.500000002623054,1.0399427440322895,-0.26886622337609123,0.041264318274467596,-0.0003090218619005082
137,3.59341960624284,1.499999997318707,1.0405554873727298,-0.4506808055112128,0.04126529110174398,0.146244991144371
138,3.59376451190604,1.5000000000394451,1.0407294762224804,-0.3210617993952991,0.04127543955770112,0.30595296719864223
139,3.5937660055076,1.500000002034349,1.039420777483038,-0.26277674143720825,0.041273144673617625,0.9176940486800739
140,3.59342427114023,1.50000000537921,1.039519119006853,-0.3541189821402011,0.04124709695271716,2.17045670096018
141,3.59274013060521,1.4999999999736862,1.0399578734975428,-0.2932241619770422,0.04124244886260202,2.517590979408787
142,3.59171506796427,1.4999999993877344,1.0412211838412258,-0.39152582093726845,0.041228235073825246,2.2855056596808665
143,3.59035124026705,1.5000000028542604,1.04053279317485,-0.4463311619942298,0.04122858584831033,2.543806576265551
144,3.58865149063328,1.4999999996680426,1.0405100989770804,-0.26625645124603803,0.04122383724626081,1.9749200329761636
145,3.58661935736397,1.5000000004479408,1.0395569426698756,-0.480258288260676,0.041219405258937115,1.3890905024902114
146,3.58425908428427,1.4999999941827908,1.040199944940602,-0.22710978513531846,0.041236191125610853,0.8987446700420157
