sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual
71,0.805589166250897,1.500000004986204,47274.049,47283.297065435094,-9.248065435094759,-9.161505811751542,1.1599300712064806,-7.898325975998161,7.898325975998161,9.248065435094759
72,0.811117081789405,1.5000000036671146,47274.2745,47283.250709113556,-8.976209113556251,-9.044482469443917,1.1599300712064806,-7.797437702461201,7.797437702461201,8.976209113556251
73,0.816772836291354,1.4999999924391725,47274.2605,47283.20445146539,-8.943951465393184,-8.922502245195371,1.1599300712064806,-7.692275997220064,7.692275997220064,8.943951465393184
74,0.822550985991578,1.500000002558868,47274.377,47283.15829238443,-8.781292384432163,-8.818287255070269,1.1599300712064806,-7.60243007226986,7.60243007226986,8.781292384432163
75,0.82844550705234,1.5000000019131456,47274.389500000005,47283.112231764586,-8.722731764581113,-8.704892948540671,1.1599300712064806,-7.504670466458751,7.504670466458751,8.722731764581113
76,0.834449796823674,1.4999999943088458,47274.5535,47283.066269499875,-8.512769499873684,-8.607763664041865,1.1599300712064806,-7.420933276683355,7.420933276683355,8.512769499873684
77,0.84055667895086,1.4999999936243864,47274.67,47283.02040548435,-8.350405484350631,-8.52351040675098,1.1599300712064806,-7.348296779551031,7.348296779551031,8.350405484350631
78,0.846758410043554,1.5000000044569235,47274.5455,47282.97463961213,-8.42913961213344,-8.450521959698461,1.1599300712064806,-7.285371911178061,7.285371911178061,8.42913961213344
79,0.853046687363935,1.5000000011842891,47274.5495,47282.92897177745,-8.379471777450817,-8.37757599487587,1.1599300712064806,-7.222483667624966,7.222483667624966,8.379471777450817
80,0.859412658755496,1.5000000026739126,47274.5095,47282.883401874606,-8.373901874605508,-8.303839073239134,1.1599300712064806,-7.158913523642028,7.158913523642028,8.373901874605508
81,0.865846934339107,1.5000000039277357,47274.62,47282.83792979794,-8.217929797938268,-8.254033311370424,1.1599300712064806,-7.1159749335450355,7.1159749335450355,8.217929797938268
82,0.872339600154542,1.5000000006565624,47274.5055,47282.79255544192,-8.28705544192053,-8.225880825930087,1.1599300712064806,-7.091704086414523,7.091704086414523,8.28705544192053
83,0.878880233583309,1.5000000022447335,47274.6225,47282.74727870103,-8.124778701028845,-8.175825955875755,1.1599300712064806,-7.048550734935095,7.048550734935095,8.124778701028845
84,0.885457920553542,1.4999999975007623,47274.643,47282.70209946985,-8.05909946985048,-8.135035262459294,1.1599300712064806,-7.013384224100494,7.013384224100494,8.05909946985048
85,0.892061275454441,1.4999999954939098,47274.5925,47282.657017643054,-8.064517643055297,-8.096397529228447,1.1599300712064806,-6.9800738253187316,6.9800738253187316,8.064517643055297
86,0.898678462351563,1.4999999985766916,47274.515,47282.61203311539,-8.097033115387603,-8.070079317586432,1.1599300712064806,-6.95738434403419,6.95738434403419,8.097033115387603
87,0.905297218678167,1.49999999837696,47274.5885,47282.56714578164,-7.978645781644445,-8.039024966781048,1.1599300712064806,-6.930611738015723,6.930611738015723,7.978645781644445
88,0.91190488025071,1.5000000006664094,47274.51,47282.522355536705,-8.012355536702671,-8.01006770502944,1.1599300712064806,-6.905647076377553,6.905647076377553,8.012355536702671
89,0.918488407772079,1.500000000464597,47274.4515,47282.47766227553,-8.026162275527895,-7.9833740939543025,1.1599300712064806,-6.882633955381929,6.882633955381929,8.026162275527895
90,0.925034413743583,1.5000000013287116,47274.452,47282.43306589316,-7.981065893160121,-7.950388473031732,1.1599300712064806,-6.854196360960172,6.854196360960172,7.981065893160121
91,0.931529194299282,1.500000005713859,47274.381,47282.38856628467,-8.007566284672066,-7.899888515140952,1.1599300712064806,-6.8106592899380765,6.8106592899380765,8.007566284672066
92,0.937958760921232,1.5000000015875687,47274.48,47282.34416334527,-7.864163345264387,-7.860485226573171,1.1599300712064806,-6.7766888898718065,6.7766888898718065,7.864163345264387
93,0.944308873387317,1.499999999576649,47274.481,47282.299856970174,-7.818856970174238,-7.8111785025798275,1.1599300712064806,-6.734180530775592,6.734180530775592,7.818856970174238
94,0.950565071672449,1.4999999973154967,47274.488,47282.25564705475,-7.76764705475216,-7.76157934959661,1.1599300712064806,-6.69142006252458,6.69142006252458,7.76764705475216
95,0.956712713595053,1.499999994979789,47274.569,47282.211533494374,-7.642533494370582,-7.70863210746514,1.1599300712064806,-6.645773136519465,6.645773136519465,7.642533494370582
96,0.96273701023663,1.4999999989421666,47274.5435,47282.167516184534,-7.624016184534412,-7.6472811161066705,1.1599300712064806,-6.59288116235532,6.59288116235532,7.624016184534412
97,0.968623066337196,1.5000000010307952,47274.55499999999,47282.123595020756,-7.5685950207625865,-7.59752627106516,1.1599300712064806,-6.549986468721109,6.549986468721109,7.5685950207625865
98,0.97435591910886,1.4999999989303243,47274.5,47282.07976989868,-7.579769898678933,-7.545478579074875,1.1599300712064806,-6.505115063726713,6.505115063726713,7.579769898678933
99,0.979920578862932,1.5000000008196368,47274.5315,47282.036040713974,-7.504540713976894,-7.502526824716672,1.1599300712064806,-6.4680854570078115,6.4680854570078115,7.504540713976894
100,0.985302068865124,1.499999994615094,47274.537,47281.99240736244,-7.45540736244584,-7.469059792647992,1.1599300712064806,-6.439232827957622,6.439232827957622,7.45540736244584
101,0.990485467009445,1.499999993171243,47274.5325,47281.94886973989,-7.416369739890797,-7.442855156485974,1.1599300712064806,-6.416641262472332,6.416641262472332,7.416369739890797
102,0.995455946739538,1.50000000304014,47274.555,47281.90542774226,-7.350427742261672,-7.413801701036088,1.1599300712064806,-6.391593670232856,6.391593670232856,7.350427742261672
103,1.00019881976503,1.5000000002937706,47274.481,47281.86208126553,-7.381081265528337,-7.388121544506349,1.1599300712064806,-6.369454269619656,6.369454269619656,7.381081265528337
104,1.00469957698309,1.499999999374723,47274.47749999999,47281.818830205746,-7.341330205752456,-7.363703471850992,1.1599300712064806,-6.34840293793898,6.34840293793898,7.341330205752456
105,1.00894393160952,1.5000000021916784,47274.3875,47281.77567445907,-7.388174459076254,-7.33204737920217,1.1599300712064806,-6.321111557678535,6.321111557678535,7.388174459076254
106,1.01291786050349,1.500000004353465,47274.4255,47281.73261392171,-7.307113921713608,-7.3046531627704905,1.1599300712064806,-6.297494430136366,6.297494430136366,7.307113921713608
107,1.0166076466233,1.5000000004767742,47274.341,47281.68964848991,-7.348648489911284,-7.2794651632809995,1.1599300712064806,-6.275779328411922,6.275779328411922,7.348648489911284
108,1.0199999195189,1.5000000026263445,47274.362,47281.64677806008,-7.284778060078679,-7.251094388199919,1.1599300712064806,-6.2513202892117645,6.2513202892117645,7.284778060078679
109,1.02308169746203,1.4999999980200225,47274.4335,47281.604002528606,-7.170502528606448,-7.2185962895123845,1.1599300712064806,-6.22330299791615,6.22330299791615,7.170502528606448
110,1.02584042644262,1.5000000004532743,47274.3915,47281.561321792,-7.169821792005678,-7.173081874832052,1.1599300712064806,-6.184064068078775,6.184064068078775,7.169821792005678
111,1.02826402070736,1.4999999987023938,47274.395,47281.51873574685,-7.123735746856255,-7.122995485175731,1.1599300712064806,-6.140883542890542,6.140883542890542,7.123735746856255
112,1.03034090075459,1.4999999993666953,47274.3505,47281.4762442898,-7.125744289798604,-7.071503683861617,1.1599300712064806,-6.096491382886831,6.096491382886831,7.125744289798604
113,1.03206003167099,1.4999999992750743,47274.385,47281.43384731757,-7.04884731756465,-7.002773034273155,1.1599300712064806,-6.037237250853705,6.037237250853705,7.04884731756465
114,1.03341095838146,1.499999996769703,47274.413,47281.391544726954,-6.97854472695326,-6.942747877654458,1.1599300712064806,-5.985488306577898,5.985488306577898,6.97854472695326
