sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,denoised_signal,wavelet_background
154,2.10225,1.5000000033811869,47297.0095,47296.997859717645,0.04319556718110107,0.047561674424893376,0.12762958661748705,0.37265398788321985,0.37265398788321985,0.04319556718110107,47297.041055284826,47296.997859717645
155,2.12737037037037,1.4999999995131532,47297.0555,47297.0777576878,0.06827832449926063,0.0637709657215358,0.12762958661748705,0.4996566032346475,0.4996566032346475,0.06827832449926063,47297.1460360123,47297.0777576878
156,2.093375,1.5000000031338254,47297.031,47297.15863126576,0.09632052548113279,0.07768086292667754,0.12762958661748705,0.6086430661214268,0.6086430661214268,0.09632052548113279,47297.25495179124,47297.15863126576
163,2.11977777777778,1.4999999953966805,47297.453,47297.23726217819,0.11414139976113802,0.08945997045925146,0.13053260222501556,0.6853457981710805,0.6853457981710805,0.11414139976113802,47297.35140357795,47297.23726217819
165,2.12983333333333,1.4999999930307972,47297.4855,47297.313259409595,0.1199780379247386,0.09823189844286793,0.13053260222501556,0.7525468485913824,0.7525468485913824,0.1199780379247386,47297.43323744752,47297.313259409595
167,2.09777777777778,1.49999999974264,47297.551,47297.38824583285,0.12166458361025434,0.10240061207312262,0.13053260222501556,0.7844830358671754,0.7844830358671754,0.12166458361025434,47297.50991041646,47297.38824583285
168,2.1465,1.4999999938985982,47297.6665,47297.461269505984,0.1154019729438005,0.10115796547001486,0.13053260222501556,0.774963217967846,0.774963217967846,0.1154019729438005,47297.57667147893,47297.461269505984
170,2.11066666666667,1.4999999918792588,47297.65549999999,47297.53404466039,0.1072677360571106,0.09473164665299312,0.13053260222501556,0.7257316949040225,0.7257316949040225,0.1072677360571106,47297.641312396445,47297.53404466039
171,2.173,1.5000000045182686,47297.7685,47297.60664243172,0.09783893852727488,0.08482484602185043,0.12762958661748705,0.664617415678664,0.664617415678664,0.09783893852727488,47297.704481370245,47297.60664243172
172,2.11983333333333,1.5000000053652551,47297.817,47297.67733103001,0.08071398985339329,0.07280357059304758,0.12239075086909385,0.594845362709773,0.594845362709773,0.08071398985339329,47297.758045019866,47297.67733103001
173,2.11566666666667,1.500000002820682,47297.825500000006,47297.7464102267,0.05709450507129077,0.05947971402606021,0.12116469222019902,0.4908997244672943,0.4908997244672943,0.05709450507129077,47297.80350473177,47297.7464102267
174,2.1185,1.500000004484826,47297.7745,47297.816401902615,0.03848365612793714,0.04515114069686711,0.11600093870692653,0.3892308217517131,0.3892308217517131,0.03848365612793714,47297.85488555874,47297.816401902615
175,2.09433333333333,1.500000003344219,47297.891,47297.88725370563,0.024980194080853835,0.029375353233869344,0.11387641832241897,0.25795817664987264,0.25795817664987264,0.024980194080853835,47297.91223389971,47297.88725370563
177,2.1655,1.5000000005239726,47298.0125,47297.95789883074,0.011786559065512847,0.012371178954910848,0.11387641832241897,0.10863688142951825,0.10863688142951825,0.011786559065512847,47297.969685389806,47297.95789883074
180,2.127625,1.500000005165745,47297.9765,47298.02891938286,0.0017498745073680766,-0.005141971464682784,0.11387641832241897,-0.04515396199171184,0.04515396199171184,0.0017498745073680766,47298.030669257365,47298.02891938286
182,2.157,1.5000000035013337,47297.993,47298.098306536565,-0.013555187018937431,-0.02186783394022819,0.11387641832241897,-0.1920312762060505,0.1920312762060505,0.013555187018937431,47298.08475134955,47298.098306536565
183,2.18833333333333,1.500000003736661,47298.06,47298.16588361589,-0.03471435110986931,-0.03763466340024024,0.11387641832241897,-0.33048689056662284,0.33048689056662284,0.03471435110986931,47298.13116926478,47298.16588361589
185,2.12333333333333,1.500000004011816,47298.0685,47298.23309366414,-0.055198629983351566,-0.052764252619656164,0.11387641832241897,-0.46334661202870314,0.46334661202870314,0.055198629983351566,47298.177895034154,47298.23309366414
188,2.13325,1.5000000048005615,47298.1505,47298.29944728016,-0.07690436392294941,-0.06681766127520758,0.11387641832241897,-0.5867559083745183,0.5867559083745183,0.07690436392294941,47298.222542916235,47298.29944728016
189,2.13155555555556,1.500000000843858,47298.1555,47298.36697501343,-0.09343825720861787,-0.07990602484803982,0.11387641832241897,-0.701690710203068,0.701690710203068,0.09343825720861787,47298.27353675622,47298.36697501343
192,2.1225,1.4999999989037789,47298.219,47298.43600373611,-0.10341780901217135,-0.09122694827399552,0.11387641832241897,-0.8011048258973524,0.8011048258973524,0.10341780901217135,47298.3325859271,47298.43600373611
194,2.1615,1.4999999961435029,47298.2585,47298.50519597434,-0.11118610889388947,-0.09958318381783708,0.11387641832241897,-0.8744846851073822,0.8744846851073822,0.11118610889388947,47298.39400986545,47298.50519597434
199,2.19,1.499999993921134,47298.3415,47298.57514802064,-0.11469411883444991,-0.10453702516598343,0.11387641832241897,-0.9179865920089543,0.9179865920089543,0.11469411883444991,47298.460453901804,47298.57514802064
204,2.221,1.4999999975148792,47298.559,47298.64497682941,-0.11604539764812216,-0.10349967713571256,0.11387641832241897,-0.9088771728196905,0.9088771728196905,0.11604539764812216,47298.52893143176,47298.64497682941
207,2.15483333333333,1.499999996473226,47298.5285,47298.714571152625,-0.11544349785253871,-0.0943208931696265,0.11387641832241897,-0.8282741462993259,0.8282741462993259,0.11544349785253871,47298.59912765477,47298.714571152625
208,2.19175,1.50000000924326,47298.5595,47298.784896877994,-0.10992047100444324,-0.07590777872974286,0.11387641832241897,-0.6665803144143919,0.6665803144143919,0.10992047100444324,47298.67497640699,47298.784896877994
209,2.2,1.4999999974565918,47298.6145,47298.85576950471,-0.09978320211666869,-0.04607970448948132,0.11387641832241897,-0.40464659117584456,0.40464659117584456,0.09978320211666869,47298.755986302596,47298.85576950471
212,2.0935,1.500000000368814,47298.7395,47298.92511443785,-0.06756823165051173,-0.008515223139612418,0.11387641832241897,-0.0747760007300477,0.0747760007300477,0.06756823165051173,47298.8575462062,47298.92511443785
227,2.16370833333333,1.5000000018446795,47299.098,47298.9928789509,-0.010829201513843145,0.032865121136031426,0.11387641832241897,0.2886033967364535,0.2886033967364535,0.010829201513843145,47298.982049749386,47298.9928789509
231,2.21280555555556,1.4999999967680595,47299.282,47299.0599371811,0.06230022094678134,0.07740945904192308,0.11387641832241897,0.6797672440202082,0.6797672440202082,0.06230022094678134,47299.12223740204,47299.0599371811
235,2.18425,1.499999997660378,47299.274000000005,47299.12575813363,0.15726655926846433,0.12264582494066821,0.11387641832241897,1.0770081000740677,1.0770081000740677,0.15726655926846433,47299.2830246929,47299.12575813363
247,2.18816666666667,1.5000000007657397,47299.7505,47299.19178983125,0.22338621331437025,0.16684100156514128,0.11387641832241897,1.4651058052490145,1.4651058052490145,0.22338621331437025,47299.41517604457,47299.19178983125
248,2.16316666666667,1.499999993950451,47299.7745,47299.25812145312,0.2563777008326724,0.20643333717129686,0.11387641832241897,1.8127838951416697,1.8127838951416697,0.2563777008326724,47299.51449915395,47299.25812145312
251,2.246,1.5000000013211083,47299.911,47299.323583662335,0.28545554330048617,0.23592769327499102,0.11387641832241897,2.0717870894657713,2.0717870894657713,0.28545554330048617,47299.609039205636,47299.323583662335
