sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,lowrank_component,sparse_component
142,2.60475694444444,1.4999999930837593,47396.8815,47396.716769739745,0.1647302602577838,0.16676121705353986,0.1659865819808755,1.0046668535698482,1.0046668535698482,0.1647302602577838,47396.716769739745,0.0
143,2.61975,1.4999999986643624,47396.8795,47396.76839686287,0.11110313713288633,0.14188717038632603,0.1659865819808755,0.854811085890508,0.854811085890508,0.11110313713288633,47396.76839686287,0.0
144,2.63125,1.4999999984063672,47396.857,47396.81986811987,0.037131880133529194,0.09586601246297101,0.1659865819808755,0.5775527835979923,0.5775527835979923,0.037131880133529194,47396.81986811987,0.0
145,2.61459722222222,1.4999999992722577,47396.9135,47396.871217170694,0.04228282930853311,0.05790871835536867,0.1659865819808755,0.3488759010775988,0.3488759010775988,0.04228282930853311,47396.871217170694,0.0
147,2.633,1.499999998355604,47396.937,47396.9224066461,0.014593353895179462,0.013346747579311745,0.1659865819808755,0.08040859339370889,0.08040859339370889,0.014593353895179462,47396.9224066461,0.0
148,2.62917361111111,1.4999999978499432,47396.9605,47396.97342971689,-0.012929716889630072,-0.025550574116803344,0.1659865819808755,-0.15393156369559563,0.15393156369559563,0.012929716889630072,47396.97342971689,0.0
149,2.63533333333333,1.4999999987762231,47396.9475,47397.02428016357,-0.0767801635665819,-0.050787154480025895,0.1659865819808755,-0.3059714458478182,0.3059714458478182,0.0767801635665819,47397.02428016357,0.0
150,2.61083333333333,1.4999999925688958,47396.9805,47397.074984164945,-0.0944841649470618,-0.08346484735456114,0.16569885822923727,-0.5037140765272571,0.5037140765272571,0.0944841649470618,47397.074984164945,0.0
152,2.60323611111111,1.500000000379721,47397.06,47397.12552668711,-0.06552668711083243,-0.11608271015413468,0.16486759382978197,-0.704096587192172,0.704096587192172,0.06552668711083243,47397.12552668711,0.0
153,2.65745833333333,1.5000000074075082,47396.9905,47397.17584563501,-0.18534563500725199,-0.14208464755049338,0.16486759382978197,-0.8618106460459967,0.8618106460459967,0.18534563500725199,47397.17584563501,0.0
156,2.654,1.5000000069683803,47397.11,47397.22602608614,-0.11602608613611665,-0.15529738090036618,0.16486759382978197,-0.9419521283285266,0.9419521283285266,0.11602608613611665,47397.22602608614,0.0
157,2.63883333333333,1.4999999969808029,47397.019,47397.27596735574,-0.256967355737288,-0.1755918743470425,0.16486759382978197,-1.0650478378930721,1.0650478378930721,0.256967355737288,47397.27596735574,0.0
158,2.6510625,1.4999999972413738,47397.0745,47397.32577793589,-0.2512779358876287,-0.17734717271701406,0.16486759382978197,-1.075694553413066,1.075694553413066,0.2512779358876287,47397.32577793589,0.0
159,2.64733333333333,1.499999993061985,47397.156,47397.375424082675,-0.21942408267204883,-0.19714755961467745,0.16486759382978197,-1.1957932728624827,1.1957932728624827,0.21942408267204883,47397.375424082675,0.0
161,2.637,1.500000000077175,47397.293000000005,47397.42484431704,-0.13184431703848531,-0.193651563528369,0.16486759382978197,-1.1745884016983053,1.1745884016983053,0.13184431703848531,47397.42484431704,0.0
162,2.626,1.5000000007082797,47397.2145,47397.47393060459,-0.2594306045866688,-0.18999717711428982,0.16486759382978197,-1.1524228182189216,1.1524228182189216,0.2594306045866688,47397.47393060459,0.0
163,2.73133333333333,1.500000002845862,47397.412500000006,47397.52278185028,-0.11028185027680593,-0.16888026988938995,0.16486759382978197,-1.024338779783193,1.024338779783193,0.11028185027680593,47397.52278185028,0.0
164,2.70983333333333,1.5000000050647104,47397.3275,47397.57123016919,-0.24373016918980284,-0.13520357525784574,0.16486759382978197,-0.8200736852958324,0.8200736852958324,0.24373016918980284,47397.57123016919,0.0
165,2.642,1.4999999985887134,47397.4655,47397.61938167023,-0.15388167023047572,-0.09919322050781273,0.16486759382978197,-0.6016538375044466,0.6016538375044466,0.15388167023047572,47397.61938167023,0.0
169,2.649125,1.500000001759536,47397.584,47397.66713660841,-0.08313660840940429,-0.08468668536968632,0.16486759382978197,-0.5136648349288176,0.5136648349288176,0.08313660840940429,47397.66713660841,0.0
