sample_index,axis,baseline_distance,signal_0,signal_1,detection_score,is_candidate
117,7.83348966097465,1.5000000056784963,47392.557,-2.503999990521512,0.0,False
118,7.8415738246474,1.49999999642996,47392.475000000006,-2.422666672431475,0.0,False
119,7.84951460329912,1.499999991464903,47392.611,-2.5173333476606543,0.0,False
120,7.8573227137814,1.4999999970703046,47392.535,-2.3960000046827656,0.0,False
121,7.86500938021149,1.49999999528239,47392.678,-2.476000007787163,0.0,False
122,7.87258628346061,1.5000000074789253,47392.7375,-2.4433333211515773,0.0,False
123,7.88006551415628,1.4999999978946077,47392.717,-2.34000000328577,0.0,False
124,7.88745951687487,1.5000000021018518,47392.7585,-2.40466666329472,0.0,False
125,7.89478103431926,1.4999999994813475,47392.7595,-2.5353333342098936,0.0,False
126,7.90204305161674,1.500000005759371,47392.8085,-2.403333324102825,0.0,False
127,7.90925874085077,1.500000000571336,47392.892,-2.419999999081349,0.0,False
128,7.91644140721099,1.499999995551011,47392.859,-2.414666673825717,0.0,False
129,7.92360443379947,1.500000001285151,47392.914,-2.590666664450987,0.0,False
130,7.93076122561119,1.4999999959346983,47393.0915,-2.463333340009268,0.0,False
131,7.93792515127093,1.5000000018428374,47393.132,-2.5079999969204056,0.0,False
132,7.94510948848871,1.499999997840123,47393.1355,-2.371333336743474,0.0,False
133,7.95232737011654,1.500000001743217,47393.2635,-2.5339999970547766,0.0,False
134,7.95959173453523,1.500000006915057,47393.436,-2.417333322191896,0.0,False
135,7.96691526787055,1.4999999970413789,47393.5425,-2.491333338247934,0.0,False
136,7.97431035229914,1.5000000026002749,47393.4905,-2.408666662489573,0.0,False
137,7.98178901754701,1.4999999993742916,47393.6495,-2.288666667624385,0.0,False
138,7.98936290180316,1.4999999945599387,47393.7505,-2.4380000088414087,0.0,False
139,7.99704320249508,1.5000000000573384,47393.7975,-2.508666666570112,0.0,False
140,8.00484063511732,1.5000000002537632,47393.886,-2.402666666259768,0.0,False
141,8.01276539152263,1.5000000064247263,47393.9985,-2.352666656591354,0.0,False
142,8.02082710971292,1.500000005341313,47394.084,-2.5346666576432466,0.0,False
143,8.02903483330465,1.4999999997784297,47394.167,-2.569333333712432,0.0,False
144,8.03739697909234,1.4999999974980318,47394.219,-2.4813333374731923,0.0,False
145,8.0459213090454,1.4999999971905986,47394.2635,-2.4513333379218807,0.0,False
146,8.05461490859245,1.4999999953616718,47394.396,-2.4133333407927835,0.0,False
147,8.06348416045826,1.5000000032425185,47394.4365,-2.4393333280600453,0.0,False
148,8.07253472962842,1.5000000067113917,47394.5165,-2.437999989091247,0.0,False
149,8.0817715395826,1.5000000017200077,47394.5305,-2.423333330551073,0.0,False
150,8.09119876647552,1.4999999983508048,47394.5145,-2.363333335930568,0.0,False
151,8.10081982605472,1.4999999956589285,47394.399000000005,-2.4333333403764863,0.0,False
152,8.11063736653492,1.4999999992610442,47394.5265,-2.3300000011447404,0.0,False
153,8.120653266783,1.499999992980383,47394.4655,-2.374000011110723,0.0,False
154,8.1308686355627,1.499999992867657,47394.529,-2.414666678145321,0.0,False
155,8.14128381289556,1.499999999950615,47394.55499999999,-2.4760000000814792,0.0,False
156,8.15189837920191,1.500000004035084,47394.6405,-2.388666660240166,0.0,False
157,8.16271116357491,1.5000000017121935,47394.62,-2.4453333305406413,0.0,False
158,8.17372026189562,1.4999999964327686,47394.5735,-2.2940000054547487,0.0,False
159,8.18492304489539,1.500000001190778,47394.7245,-2.2779999981876085,0.0,False
160,8.19631617934472,1.4999999927086194,47394.661,-2.369333344852958,0.0,False
161,8.20789565195521,1.500000001696849,47394.817,-2.3493333306741,0.0,False
162,8.21965679189851,1.4999999990577513,47394.7845,-2.3860000014974068,0.0,False
163,8.23159429702882,1.4999999970683084,47394.8665,-2.298000004491429,0.0,False
164,8.24370226327744,1.4999999983557664,47394.952000000005,-2.3746666692683904,0.0,False
165,8.25597421023797,1.499999992650794,47394.9985,-2.459333345381756,0.0,False
166,8.26840312008309,1.4999999936187696,47394.97749999999,-2.3166666765211525,0.0,False
167,8.28098146943998,1.5000000062356096,47395.1225,-2.447333323160987,0.0,False
168,8.29370126345333,1.500000002779975,47395.262,-2.402666662213338,0.0,False
169,8.30655407549314,1.5000000040469808,47395.245500000005,-2.355333326980731,0.0,False
170,8.31953108329617,1.5000000031235976,47395.4255,-2.3553333284306475,0.0,False
171,8.33262310567767,1.4999999927096823,47395.4355,-2.5153333455590845,0.0,False
172,8.3458206425881,1.500000006946245,47395.462,-2.4573333219548497,0.0,False
173,8.35911391660596,1.50000000136057,47395.5635,-2.436666664460571,0.0,False
174,8.37249291446693,1.499999999937889,47395.698,-2.3506666667675327,0.0,False
175,8.38594743073893,1.5000000025156712,47395.713,-2.407999995962169,0.0,False
176,8.39946710789888,1.5000000014173458,47395.704,-2.478666664325086,0.0,False
177,8.41304147476102,1.499999998238623,47395.89,-2.4066666694930863,0.0,False
178,8.42665998041544,1.500000005591951,47395.9625,-2.3953333244041137,0.0,False
179,8.44031204075869,1.500000000064471,47395.936,-2.4733333332264453,0.0,False
180,8.45398707821141,1.5000000056531644,47395.998,-2.445333324120834,0.0,False
181,8.46767456590222,1.5000000009974672,47396.0455,-2.487333331679156,0.0,False
182,8.48136406147592,1.4999999987900807,47396.076,-2.4746666686624543,0.0,False
183,8.49504524746074,1.49999999918626,47396.163,-2.4453333346633253,0.0,False
184,8.5087079562841,1.500000005080508,47396.264,-2.4306666584344128,0.0,False
185,8.52234220483714,1.500000005375435,47396.264,-2.494666657730485,0.0,False
186,8.53593822360675,1.5000000011362176,47396.275,-2.439999998154081,0.0,False
187,8.54948649829065,1.5000000017851478,47396.269,-2.4359999970975825,0.0,False
188,8.5629777925923,1.499999995589592,47396.3845,-2.3180000068148523,0.0,False
189,8.57640318036349,1.5000000004506306,47396.4055,-2.480666665924761,0.0,False
190,8.58975406682778,1.5000000071198325,47396.5225,-2.419333321850378,0.0,False
191,8.6030222159273,1.5000000033503504,47396.4725,-2.457999994508612,0.0,False
192,8.61619977075309,1.499999999420474,47396.592,-2.517333334309438,0.0,False
193,8.6292792748093,1.5000000048704158,47396.562000000005,-2.4839999919361824,0.0,False
194,8.64225368525299,1.4999999980591987,47396.715500000006,-2.5193333365945305,0.0,False
195,8.65511638819875,1.499999997593111,47396.753,-2.4293333372315784,0.0,False
196,8.66786120771944,1.4999999965748927,47396.7915,-2.402000005486601,0.0,False
197,8.68048241285613,1.4999999988163084,47396.951,-2.413333335234657,0.0,False
198,8.69297472950932,1.499999999504252,47397.0665,-2.566000000849379,0.0,False
199,8.70533334352872,1.4999999969001212,47397.1505,-2.347333338184726,0.0,False
200,8.71755390655056,1.5000000010385566,47397.1615,-2.411333331662709,0.0,False
201,8.72963252862197,1.499999998262739,47397.241,-2.513333336242076,0.0,False
202,8.74156578086221,1.5000000047057729,47397.316000000006,-2.4253333257239618,0.0,False
